Temps (s),Vitesse avec frottement,Vitesse sans frottement,Hauteur avec frottement,Hauteur sans frottement
0.0,0.0,0.0,55.0,55.0
0.01,0.0981,0.0981,54.999019,54.999019
0.02,0.19619641097560975,0.1962,54.99705703589024,54.997057
0.03,0.29428923305813504,0.2943,54.99411414355966,54.994113999999996
0.04,0.3923784663788768,0.3924,54.99019035889587,54.99019
0.05,0.49046411106913124,0.49050000000000005,54.98528571778518,54.985285
0.060000000000000005,0.5885461672601897,0.5886,54.97940025611258,54.979399
0.07,0.6866246350833387,0.6867,54.972534009761745,54.972532
0.08,0.7846995146698601,0.7847999999999999,54.964687014615045,54.964684
0.09,0.8827708061510308,0.8828999999999999,54.955859306553535,54.955855
0.09999999999999999,0.9808385096581228,0.9809999999999999,54.94605092145695,54.946045
0.10999999999999999,1.0789026253224037,1.0791,54.93526189520373,54.935254
0.11999999999999998,1.176963153275136,1.1772,54.92349226367098,54.923482
0.12999999999999998,1.275020093647577,1.2753,54.910742062734506,54.910729
0.13999999999999999,1.3730734465709802,1.3734000000000002,54.897011328268796,54.896995000000004
0.15,1.4711232121765934,1.4715000000000003,54.88230009614703,54.88228
0.16,1.56916939059566,1.5696000000000003,54.86660840224107,54.866584
0.17,1.6672119819594187,1.6677000000000004,54.849936282421474,54.849907
0.18000000000000002,1.765250986399103,1.7658000000000005,54.83228377255748,54.832249000000004
0.19000000000000003,1.863286404045942,1.8639000000000006,54.81365090851702,54.813610000000004
0.20000000000000004,1.9613182350311598,1.9620000000000006,54.79403772616671,54.79399
0.21000000000000005,2.059346479485976,2.0601000000000007,54.77344426137185,54.773389
0.22000000000000006,2.1573711375416047,2.158200000000001,54.75187054999643,54.751807
0.23000000000000007,2.2553922093292558,2.256300000000001,54.72931662790314,54.729244
0.24000000000000007,2.353409694980134,2.354400000000001,54.705782530953336,54.7057
0.25000000000000006,2.4514235946254397,2.452500000000001,54.68126829500708,54.681175
0.26000000000000006,2.549433908396368,2.550600000000001,54.65577395592312,54.655669
0.2700000000000001,2.6474406364241094,2.648700000000001,54.62929954955887,54.629182
0.2800000000000001,2.7454437788398502,2.7468000000000012,54.60184511177047,54.601714
0.2900000000000001,2.843443335774771,2.8449000000000013,54.57341067841273,54.573265
0.3000000000000001,2.9414393073600476,2.9430000000000014,54.54399628533913,54.543835
0.3100000000000001,3.0394316937268515,3.0411000000000015,54.51360196840186,54.513424
0.3200000000000001,3.1374204950063493,3.1392000000000015,54.482227763451796,54.482032000000004
0.3300000000000001,3.235405711329703,3.2373000000000016,54.4498737063385,54.449659000000004
0.34000000000000014,3.3333873428280687,3.3354000000000017,54.41653983291022,54.416305
0.35000000000000014,3.4313653896325995,3.4335000000000018,54.38222617901389,54.38197
0.36000000000000015,3.5293398518744423,3.531600000000002,54.346932780495145,54.346654
0.37000000000000016,3.6273107296847398,3.629700000000002,54.310659673198295,54.310357
0.38000000000000017,3.725278023194629,3.727800000000002,54.27340689296635,54.273079
0.3900000000000002,3.823241732535244,3.825900000000002,54.235174475640996,54.234820000000006
0.4000000000000002,3.9212018578377124,3.924000000000002,54.19596245706262,54.19558000000001
0.4100000000000002,4.019158399233158,4.022100000000002,54.15577087307029,54.155359000000004
0.4200000000000002,4.117111356852698,4.120200000000001,54.114599759501765,54.114157000000006
0.4300000000000002,4.215060730827448,4.218300000000001,54.07244915219349,54.071974000000004
0.4400000000000002,4.313006521288515,4.316400000000001,54.02931908698061,54.02881000000001
0.45000000000000023,4.410948728367004,4.4145,53.98520959969694,53.98466500000001
0.46000000000000024,4.508887352194015,4.5126,53.940120726174996,53.939539
0.47000000000000025,4.606822392900642,4.6107,53.89405250224599,53.893432000000004
0.48000000000000026,4.7047538506179745,4.708799999999999,53.84700496373981,53.846344
0.49000000000000027,4.802681725477099,4.806899999999999,53.79897814648504,53.798275000000004
0.5000000000000002,4.9006060176090935,4.9049999999999985,53.74997208630895,53.749225
0.5100000000000002,4.998526727145035,5.003099999999998,53.6999868190375,53.699194000000006
0.5200000000000002,5.096443854215993,5.101199999999998,53.64902238049534,53.648182000000006
0.5300000000000002,5.194357398953033,5.199299999999997,53.597078806505806,53.596189
0.5400000000000003,5.292267361487218,5.297399999999997,53.54415613289093,53.543215000000004
0.5500000000000003,5.390173741949602,5.395499999999997,53.49025439547144,53.48926
0.5600000000000003,5.488076540471238,5.493599999999996,53.43537363006673,53.434324000000004
0.5700000000000003,5.585975757183172,5.591699999999996,53.3795138724949,53.378407
0.5800000000000003,5.683871392216445,5.6897999999999955,53.322675158572736,53.321509000000006
0.5900000000000003,5.781763445702095,5.787899999999995,53.26485752411571,53.263630000000006
0.6000000000000003,5.879651917771155,5.885999999999995,53.206061004938,53.20477
0.6100000000000003,5.977536808554651,5.984099999999994,53.146285636852454,53.144929000000005
0.6200000000000003,6.075418118183607,6.082199999999994,53.08553145567062,53.084107
0.6300000000000003,6.173295846789039,6.180299999999994,53.023798497202726,53.022304000000005
0.6400000000000003,6.271169994501962,6.278399999999993,52.96108679725771,52.959520000000005
0.6500000000000004,6.3690405614533825,6.376499999999993,52.89739639164317,52.89575500000001
0.6600000000000004,6.466907547774305,6.474599999999993,52.832727316165425,52.83100900000001
0.6700000000000004,6.564770953595728,6.572699999999992,52.767079606629466,52.765282000000006
0.6800000000000004,6.662630779048645,6.670799999999992,52.70045329883898,52.69857400000001
0.6900000000000004,6.760487024264046,6.7688999999999915,52.63284842859634,52.630885000000006
0.7000000000000004,6.858339689372914,6.866999999999991,52.56426503170261,52.56221500000001
